restId,name,cuisine,aggregate_rating,rating_votes,dining_rating,dining_review_count,delivery_rating,delivery_review_count,timing,people_say,top_dishes,address,location_longitude,location_latitude,url,cost_for_two
10013,Chaitanya Paranthas,"North Indian, Chinese, Biryani, Fast Food, Desserts, Beverages",4.2,2295,4.2,2295.0,4.1,23.6K,11am – 12midnight (Today),"Chirpy Crowd, Combos, Great Recommendations, Favorite Place, Low Price, Great Value","Sumptuous Paratha, Amritsari Parantha, Mushroom Cheese Paratha, Peshawari Paratha, Aloo Cheese, Mango Lassi","Tukaram Paduka Chowk, FC Road, Pune",73.8413218036,18.5243250684,https://www.zomato.com/pune/chaitanya-paranthas-fc-road,₹400 for two people (approx.)
19169898,Chao Mung China,"Chinese, Pasta, Desserts, Beverages",3.9,0,3.9,0.0,3.4,719,11:30am – 11:30pm (Today),"Large Servings, Good Wifi, Variety of Pizza, Weekend Brunch, Affordable Prices, Tamper Proof Packaging","Veg Chowmein, Chicken Chilli, Cheesecake, Noodles","Near Cosmos Bank, Baner Road, Baner, Pune",73.7896151841,18.5599457996,https://www.zomato.com/pune/chao-mung-china-1-baner,₹400 for two people (approx.)
19325863,Timo - Kitchen & Bar,"European, Italian, Modern Indian, Beverages",4.1,179,4.1,179.0,4.0,25,"12noon – 4pm, 7pm – 12midnight (Today)","Cooking Technique, Ambience was Super Cool, Variety of Pizza, Customizable Dishes, Calm, Weekend Brunch","Hummus, Tiramisu, Cheesecake, Mocktails, Dessert, Pasta","A-102, B-102, Dharamshi Milestone, Chandani Chowk, Bavdhan, Pune",73.78305953,18.5078389878,https://www.zomato.com/pune/timo-kitchen-bar-bavdhan,"₹1,000 for two people (approx.) Without alcohol"
6503814,Claypot,"North Indian, Seafood, Chinese, Waffle",4.1,1403,4.1,1403.0,3.7,16.3K,12noon – 3am (Today),"Great Taste Value for Money, Good Service Provider, Nice Food Quality, Ample Seating Area, Great Restaurant, Fresh","Sea Food Platter, Honey Potato, Chicken Maharaja, Dahi Ke Kebab, Tandoori Masala, Tangdi Kabab","Survey 60, Chavan Mala, Near WTC, Kharadi, Pune",73.9472583309,18.5547630414,https://www.zomato.com/pune/claypot-kharadi,₹700 for two people (approx.)
19014498,Taste Of Indore,Street Food,3.9,132,3.9,132.0,4.1,2021,7:30am – 10:30pm (Today),"Lip Smacking Food, Inexpensive, Great Recommendations, Good Crowd, Low Price, Mouth Watering Food","Daal Kachori, Indori Poha, Jalebi, Snacks","Utkarsh Chowk, Opposite Ozone Spring, Datta Mandir Road, Wakad, Pune",73.7633633986,18.5946706029,https://www.zomato.com/pune/taste-of-indore-wakad,₹200 for two people (approx.)
12344,Itss Yummyy,"Fast Food, Healthy Food, Lebanese",4.3,714,4.3,714.0,3.9,7782,9am – 11pm (Today),"Healthy Food, Tandoori, Best Service, Yummy Food, Good Staff, Best Place","Crunchy Roll, Chicken Crisp Burger, Barbecue Chicken, Roasted Chicken, Barbeque, Chicken Shawarma","Shop 3, Bharti Vidyapeeth, Dindayal Nagar, Near New Katraj Dairy, Katraj, Pune",73.8534836099,18.4553906426,https://www.zomato.com/pune/itss-yummyy-katraj,₹500 for two people (approx.)
6506206,18 Degrees Resto Lounge,"North Indian, Pizza, Mughlai, Beverages, Desserts",4.0,2777,4.0,2777.0,4.1,129,11am – 1am (Today),"Thoughtful and Polite Staff, A Black Tie Crowd, Fairly Priced Beers, Food and Service, Kid Friendly, Wonderful View","Amritsari Macchi, Chicken Dilruba, Garlic Pasta, Almond Soup, Ras Malai, Kadhai Chicken","8th, 9th Floor, Spot 18 Mall, Pimple Saudagar, Pune",73.7860625982,18.5934710016,https://www.zomato.com/pune/18-degrees-resto-lounge-pimple-saudagar,"₹2,100 for two people (approx.) with alcohol"
6507835,Radha Krishna,"North Indian, Chinese, Continental, Maharashtrian, Biryani, South Indian, Beverages",2.8,783,2.8,783.0,3.9,1361,11am – 11pm (Today),"Comfortable Seating Area, Family Restaurant, Good for Large Groups, Prime Location, Pure Veg, Decent Ambience","Paneer Lababdar, Spring Roll, Chutneys, Idli, Starters, Desserts","Shop 1, Fortuna Plaza, Opposite Rainbow Plaza, Pimple Saudagar, Pune",73.7891736254,18.5957494424,https://www.zomato.com/pune/radha-krishna-pimple-saudagar,₹750 for two people (approx.)
6507189,Marrakesh,"Lebanese, North Indian, Mughlai, Biryani, Rolls, Desserts",3.5,423,3.5,423.0,3.7,10.6K,11am – 2am (Today),"Food Service, Wonderful Presentation, Best Food under Best Budget, Portion, Flavour, Main Course","Dajaj Shawarma, Zatar Naan, Falafel, Chicken Tandoori, Kebabs, Butter Chicken","S 129, P5, Vishnu Puri Apartment, Ideal Colony, Paud Road, Karve Nagar, Pune",73.8168841973,18.5107617459,https://www.zomato.com/pune/marrakesh-karve-nagar,₹500 for two people (approx.)
18361143,Wadeshwar Bhuvan,"South Indian, Fast Food, Beverages",3.5,122,3.5,122.0,2.7,147,11am – 11pm (Today),"South Indian Food, Location, Quality, Staff, Ambience","Ghee Idli, Misal Pav, Sambhar, Masala Dosa, Tea","Survey 169/1, 168/1, 167/1, Unit 04, 2nd Floor, Westend Mall, Aundh, Pune",73.8068691641,18.5614574343,https://www.zomato.com/pune/wadeshwar-bhuvan-aundh,₹250 for two people (approx.)
